,band_gap
0.0,16540
9.999999999976694e-05,1
0.0001999999999995,1
0.0002999999999993,2
0.0002999999999997,2
0.0003000000000001,1
0.0003999999999999,2
0.0005000000000001,1
0.0005999999999994,1
0.0007,2
0.0007000000000001,3
0.0007999999999999,1
0.0009000000000005,1
0.0010000000000003,1
0.0011000000000001,2
0.0011999999999999,1
0.0012000000000003,1
0.0013,3
0.0013999999999994,1
0.0013999999999999,1
0.0015,1
0.0015999999999999,1
0.0017,1
0.0018000000000002,1
0.0019999999999997,2
0.0020999999999999,3
0.0021000000000004,1
0.0021999999999997,1
0.0022000000000002,1
0.0022999999999999,1
0.0024000000000001,1
0.0024999999999995,1
0.0024999999999999,1
0.0026000000000001,1
0.0026999999999999,1
0.0027000000000008,1
0.0028999999999999,1
0.0030000000000001,1
0.0030999999999999,1
0.0031999999999996,1
0.0033000000000003,1
0.0035000000000007,2
0.0037,2
0.0038999999999997,2
0.0039,1
0.0039999999999995,1
0.0040999999999997,1
0.0042000000000002,1
0.0042999999999997,1
0.0043000000000006,1
0.0043999999999995,1
0.0044000000000004,1
0.0044999999999997,1
0.0044999999999999,1
0.0045999999999999,2
0.0046999999999997,1
0.0048999999999992,1
0.0051000000000005,1
0.0052000000000003,1
0.0053,2
0.0056000000000002,1
0.0057,2
0.0057999999999998,1
0.0058,1
0.0059999999999993,1
0.0060000000000002,1
0.0061999999999997,2
0.0062999999999995,1
0.0062999999999999,1
0.0063999999999992,1
0.0063999999999999,1
0.0064999999999999,1
0.0066000000000001,1
0.0067999999999996,1
0.0068000000000001,2
0.0070000000000001,2
0.0070000000000005,1
0.0070999999999994,1
0.0071000000000003,2
0.0072,1
0.0072999999999998,1
0.0075000000000002,2
0.0076999999999998,1
0.0078,1
0.0079000000000002,1
0.0080000000000008,1
0.0080999999999997,2
0.0083999999999999,1
0.0085000000000001,1
0.0087999999999999,1
0.0088999999999996,2
0.0089000000000001,1
0.009,1
0.0091999999999998,1
0.0093,1
0.0096999999999999,1
0.0097000000000004,2
0.0097999999999998,1
0.0102999999999999,1
0.0104999999999999,1
0.0106000000000001,2
0.0106999999999999,1
0.0108999999999994,1
0.0108999999999999,1
0.0109000000000003,2
0.0110000000000001,1
0.0112999999999998,1
0.0112999999999999,1
0.0114,1
0.0114999999999998,1
0.0116,3
0.0116999999999993,1
0.0116999999999998,1
0.0118,2
0.0123999999999999,1
0.0125999999999999,1
0.0129000000000001,1
0.0130000000000003,2
0.0131000000000001,1
0.0131999999999998,1
0.0132000000000003,1
0.0133,1
0.0138,1
0.0138999999999999,1
0.0139,2
0.0139000000000004,1
0.0141,1
0.0142999999999999,1
0.0144000000000001,1
0.0144999999999999,2
0.0145999999999997,1
0.0146000000000001,2
0.0146999999999999,1
0.0147,1
0.0147000000000003,1
0.0148000000000001,1
0.0148999999999999,1
0.0149999999999996,1
0.0150000000000005,1
0.0150999999999998,1
0.0151999999999998,1
0.0154999999999998,1
0.0155000000000002,1
0.0158,2
0.0159000000000002,3
0.016,2
0.0161999999999995,1
0.0162999999999997,1
0.0166999999999992,1
0.0169000000000001,1
0.0170000000000001,1
0.0172999999999996,1
0.0173,1
0.0175999999999998,1
0.0178000000000002,1
0.0179,1
0.0179999999999997,1
0.0180000000000002,1
0.0181,1
0.0181999999999993,1
0.0183999999999999,1
0.0184999999999999,1
0.0189999999999992,1
0.0189999999999996,1
0.0192000000000001,1
0.0194,2
0.0194999999999998,1
0.0196000000000005,1
0.0197000000000002,1
0.0201000000000002,1
0.0202999999999997,1
0.0203000000000006,1
0.0204000000000004,1
0.0204999999999997,1
0.0205999999999999,3
0.0207,1
0.0207000000000014,1
0.0207999999999994,1
0.0209999999999999,2
0.0211,1
0.0211999999999994,1
0.0212000000000003,1
0.0213,2
0.0214000000000003,1
0.0215,2
0.0219999999999993,1
0.0221,1
0.0223999999999999,1
0.0225999999999997,1
0.0226000000000001,1
0.0228000000000001,1
0.0230000000000001,1
0.0230000000000005,1
0.0230999999999999,1
0.0231000000000003,2
0.0231999999999996,1
0.0232999999999998,1
0.0233999999999996,1
0.0234,2
0.0236,2
0.0237000000000002,1
0.0237999999999999,1
0.0240999999999997,1
0.0242,1
0.0243999999999999,1
0.0244999999999997,1
0.0245000000000001,1
0.0246,1
0.0249000000000005,1
0.0249999999999999,1
0.0250000000000003,1
0.0253000000000001,1
0.0255999999999998,1
0.0256999999999996,1
0.0258000000000002,1
0.0259,1
0.0259999999999998,2
0.0264,1
0.0264999999999999,1
0.0266999999999999,1
0.0267999999999997,1
0.0268999999999999,1
0.0269999999999996,1
0.0270000000000001,1
0.0270999999999999,1
0.0272000000000001,1
0.0275000000000003,1
0.0279000000000007,1
0.0279999999999995,1
0.0282,2
